Variable Name/Key,Figma Preview URL,🟡 DC English Current,⚪ SOURCE English,🟡 DC Español Current,⚪ SOURCE Español,🟡 DC Amharic Current,Suggested Machine Translation,Status,Amharic Status,Environment,Notes
GLOBAL - Program Name,,DC SUN Bucks,Summer EBT,DC SUN Bucks,Summer EBT,DC SUN Bucks,ዲሲ ሰን ባክስ,Ready to Publish,,"Figma, Code",
GLOBAL - Banner Image Alt Text,,Logo: DC SUN Bucks,Logo: Agency Name,Logo: DC Sun Bucks,Logo: Nombre de la agencia,አርማ፦ DC SUN Bucks,አርማ፡ ዲሲ ሰን ቡክስ,Ready to Publish,,"Figma, Code",
GLOBAL - Language,,!N/A!,Language,!N/A!,Idioma,!N/A!,,!N/A!,,!N/A!,
GLOBAL - Label - Languages,,!N/A!,Languages,!N/A!,Idiomas,!N/A!,,!N/A!,,!N/A!,
GLOBAL - Label - Translate,,Translate,Translate,Traducir,Traducir ,ተርጉም,ተርጉም,Ready to Publish,,"Figma, Code",
GLOBAL - Options - Languages,,"English
Español (Spanish)
አማርኛ (Amharic)","English
Español (Spanish)","English (inglés)
Español
 አማርኛ (Amárico)","Inglés (English)
Español","English (እንግሊዘኛ)
Español (ስፓኒሽ)
አማርኛ","እንግሊዝኛ
እስፓኞል (ስፓኒሽ)
አማርኛ (አማርኛ)",Ready to Publish,,"Figma, Code",
GLOBAL - Language - English,,English,English,Inglés (English),Inglés (English),English (እንግሊዘኛ),እንግሊዝኛ,Ready to Publish,,"Figma, Code",
GLOBAL - Language - Español,,Español (Spanish),Español (Spanish),Español,Español,Español (ስፓኒሽ),ስፓኒሽ (ስፓኒሽ),Ready to Publish,,"Figma, Code",
GLOBAL - Language - Amharic,,አማርኛ (Amharic),አማርኛ (Amharic), አማርኛ (Amárico),አማርኛ (Amárico),አማርኛ,አማርኛ (አማርኛ),Ready to Publish,,"Figma, Code",
GLOBAL - Address Format,,"[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]","[Street address line 1]
[Street address line 2]
[City], [State] [ZIP Code]","[Dirección linea 1]
[Dirección linea 2]
[Ciudad], [Estado] [Código postal]","[Dirección linea 1]
[Dirección linea 2]
[Ciudad], [Estado] [Código postal]","[Street address line 1]
[Street address line 2]
[City]፣ [State] [ZIP Code]","[የመንገድ አድራሻ መስመር 1]
[የመንገድ አድራሻ መስመር 2]
[ከተማ]፣ [ክልል] [የፖስታ ኮድ]",Ready to Publish,,"Figma, Code",
GLOBAL - Label First name,,First name,First name,Nombre,Nombre,መጠሪያ ስም,የመጀመሪያ ስም,Ready to Publish,,"Figma, Code",
GLOBAL - Helper Text - Legally as it appears,,"Legally as it appears on official documents, e.g. birth certificate","Legally as it appears on official documents, e.g. birth certificate","Legalmente como aparece en documentos oficiales, ej. acta de nacimiento.","Legalmente como aparece en documentos oficiales, ej. acta de nacimiento.",በሕጋዊ መንገድ በይፋዊ ሰነዶች ላይ እንደሚታየው፣ ለምሳሌ የልደት የምስክር ወረቀት,በሕጋዊ መንገድ በይፋዊ ሰነዶች ላይ እንደሚታየው፣ ለምሳሌ የልደት የምስክር ወረቀት,Ready to Publish,,"Figma, Code",
GLOBAL - Label Middle name,,Middle name,Middle name,Segundo nombre,Segundo nombre,የአባት ስም,የአባት ስም,Ready to Publish,,"Figma, Code",
GLOBAL - Helper Text - Optional,,Optional. If they have one.,Optional. If they have one.,Opcional. Si tienes uno.,Opcional. Si tienes uno.,አማራጭ። ካላቸው።,አማራጭ። አንድ ካላቸው።,Ready to Publish,,"Figma, Code",
GLOBAL - Label Last name,,Last name,Last name,Apellido,Apellido,የአያት ስም,የአያት ስም,Ready to Publish,,"Figma, Code",
GLOBAL - Action - Continue,,Continue,Continue,Continuar ,Continuar,ቀጥል,ቀጥል,Ready to Publish,,"Figma, Code",
GLOBAL - Action - Submit,,Submit,Submit,Enviar,Enviar,አስገባ,አስገባ,Ready to Publish,,"Figma, Code",
GLOBAL - Placeholder - Select one,,- Select one -,- Select one -,- Selecciona una opción-,- Selecciona una opción-,-አንዱን ይምረጡ-,- አንዱን ይምረጡ -,Ready to Publish,,"Figma, Code",
GLOBAL - Options - January - February,,"January

February

March

April

May

June

July

August

September

October

November

December","January

February

March

April

May

June

July

August

September

October

November

December","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre","enero

febrero

marzo

abril

mayo

junio

julio

agosto

septiembre

octubre

noviembre

diciembre","ጃንዋሪ

ፌብሯሪ

ማርች

ኤፕሪል

ሜይ

ጁን

ጁላይ

ኦገስት

ሴፕቴምበር

ኦክቶበር

ኖቬምበር

ዲሴምበር","ጥር

የካቲት

መጋቢት

ሚያዝያ

ግንቦት

ሰኔ

ሐምሌ

ነሐሴ

መስከረም

ጥቅምት

ህዳር

ታህሳስ",Ready to Publish,,"Figma, Code",
GLOBAL - Options - January,,January,January,"enero

",enero,ጃንዋሪ,ጥር,Ready to Publish,,"Figma, Code",
GLOBAL - Options - February,,February,February,febrero,febrero,ፌብሯሪ,የካቲት,Ready to Publish,,"Figma, Code",
GLOBAL - Options - March,,March,March,marzo,marzo,ማርች,መጋቢት,Ready to Publish,,"Figma, Code",
GLOBAL - Options - April,,April,April,abril,abril,ኤፕሪል,ሚያዚያ,Ready to Publish,,"Figma, Code",
GLOBAL - Options - May,,May,May,mayo,mayo,ሜይ,ግንቦት,Ready to Publish,,"Figma, Code",
GLOBAL - Options - June,,June,June,junio,junio,ጁን,ሰኔ,Ready to Publish,,"Figma, Code",
GLOBAL - Options - July,,July,July,julio,julio,ጁላይ,ሀምሌ,Ready to Publish,,"Figma, Code",
GLOBAL - Options - August,,August,August,agosto,agosto,ኦገስት,ነሐሴ,Ready to Publish,,"Figma, Code",
GLOBAL - Options - September,,September,September,septiembre,septiembre,ሴፕቴምበር,መስከረም,Ready to Publish,,"Figma, Code",
GLOBAL - Options - October,,October,October,octubre,octubre,ኦክቶበር,ጥቅምት,Ready to Publish,,"Figma, Code",
GLOBAL - Options - November,,November,November,noviembre,noviembre,ኖቬምበር,ህዳር,Ready to Publish,,"Figma, Code",
GLOBAL - Options - December,,December,December,diciembre,diciembre,ዲሴምበር,ታህሳስ,Ready to Publish,,"Figma, Code",
GLOBAL - Option - None of the above,,None of the above,None of the above,Ninguna de las anteriores,Ninguna de las anteriores,ከላይ ካሉት የትኛውም አይደለም,ከላይ ከተዘረዘሩት ውስጥ አንዳቸውም አይደሉም,Ready to Publish,,"Figma, Code",
GLOBAL - Required Fields,,Asterisks (*) indicate a required field.,Asterisks (*) indicate a required field.,Los asteriscos (*) indican que es un campo requerido.,Los asteriscos (*) indican que es un campo requerido.,ኮከቦች (*) አስፈላጊ መሞላት የሚገባቸውን ቦታዎች ያመላክታል።,ኮከቦች (*) የሚፈለገውን መስክ ያመለክታሉ።,Ready to Publish,,"Figma, Code",
GLOBAL - Helper Select at least one,,Select at least one option.,Select at least one option.,Selecciona por lo menos una opción.,Selecciona por lo menos una opción.,ቢያንስ አንድ አማራጭ ይምረጡ።,ቢያንስ አንድ አማራጭ ይምረጡ።,Ready to Publish,,"Figma, Code",
GLOBAL - Email,,Email,Email,Correo electrónico,Correo electrónico,ኢሜይል,ኢሜይል,Ready to Publish,,"Figma, Code",
GLOBAL - Phone,,Phone,Phone,Teléfono,Teléfono,ስልክ ቁጥር,ስልክ,Ready to Publish,,"Figma, Code",
GLOBAL - Physical mail,,Physical mail,Physical mail,Correo físico,Correo físico,አካላዊ ደብዳቤ,አካላዊ ደብዳቤ,Ready to Publish,,"Figma, Code",
GLOBAL - Email address,,Email address,Email address,Correo electrónico,Correo electrónico,ኢሜይል አድራሻ,የኢሜይል አድራሻ,Ready to Publish,,"Figma, Code",
GLOBAL - Phone number,,Phone number,Phone number,Número de teléfono,Número de teléfono,የስልክ ቁጥር,የስልክ ቁጥር,Ready to Publish,,"Figma, Code",
GLOBAL - Label Send Cards to Preferred Address,,Do you want us to send DC SUN Bucks cards for all of your enrolled students to your preferred address?,Do you want us to send Summer EBT cards for all of your enrolled children to your preferred address?,¿Quieres que enviemos las tarjetas de DC SUN Bucks para todos tus estudiantes inscritos a tu dirección de preferencia?,¿Quieres que enviemos Tarjetas Summer EBT para todos tus niños inscritos a tu dirección de correspondencia preferida?,ለተመዘገቡ ተማሪዎችዎ በሙሉ የ DC SUN Bucks ካርዶችን ወደመረጡት አድራሻ እንድንልክልዎ ይፈልጋሉ?,ለተመዘገቡ ተማሪዎችዎ በሙሉ የዲሲ የሰን ቡክስ ካርዶችን ወደመረጡት አድራሻ እንድንልክልዎ ይፈልጋሉ?,Ready to Publish,,"Figma, Code",
GLOBAL - Co-loaded Card Helper,,"If your family uses a SNAP or TANF EBT card to spend your student's DC SUN Bucks, you cannot order a replacement card here.","If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not receive a Summer EBT card.","Si tu estudiante es elegible para DC SUN Bucks a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta de DC SUN Bucks.","Si tu niño/a es elegible para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no recibirá una tarjeta Summer EBT.",ቤተሰብዎ የተማሪዎን የ DC SUN Bucks ገንዘብ ለማውጣት የSNAP ወይም የTANF EBT ካርድ የሚጠቀሙ ከሆነ፣ እዚህ ምትክ ካርድ ማዘዝ አይችሉም።,ቤተሰብዎ የተማሪዎን የዲሲ ሰኔ ባክስ ገንዘብ ለማውጣት የSNAP ወይም የTANF EBT ካርድ የሚጠቀሙ ከሆነ፣ እዚህ ምትክ ካርድ ማዘዝ አይችሉም።,Ready to Publish,,"Figma, Code",
GLOBAL - Co-loaded Card Helper Link,,Tap here to learn how to replace SNAP or TANF EBT cards,Tap here to learn how to replace SNAP or TANF EBT cards,Toca aquí para aprender cómo reemplazar las tarjetas EBT de SNAP o TANF,Toca aquí para aprender cómo reemplazar las tarjetas EBT de SNAP o TANF,የSNAP ወይም የTANF EBT ካርዶችን እንዴት መተካት እንደሚችሉ ለማወቅ እዚህ መታ ያድርጉ,የSNAP ወይም የTANF EBT ካርዶችን እንዴት መተካት እንደሚችሉ ለማወቅ እዚህ መታ ያድርጉ,Ready to Publish,,"Figma, Code",
GLOBAL - Yes,,Yes,Yes,Sí,Sí,አዎ,አዎ,Ready to Publish,,"Figma, Code",
GLOBAL - No,,No,No,No,No,አይ,አይ,Ready to Publish,,"Figma, Code",
GLOBAL - Action - Back,,Back,Back,Regresar,Regresar,ይመለሱ,ተመለስ,Ready to Publish,,"Figma, Code",
GLOBAL - Label - Select One,,Select one,Select one,Selecciona una opción,Selecciona una opción,አንዱን ይምረጡ,አንዱን ምረጥ,Ready to Publish,,"Figma, Code",
GLOBAL - Street Address,,Street address,Street address,Dirección,Dirección,የጎዳና አድራሻ,የአድራሻ ጎዳና,Ready to Publish,,"Figma, Code",
GLOBAL - Helper Street Address,,"Include direction, NW, NE, SE, or SW.","Include direction, NW, NE, SE, or SW.","Incluye la dirección: NO, NE, SE o SO.","Incluya la dirección: NW, NE, SE o SO.",አቅጣጫን፣ NW፣ NE፣ SE ወይም SWን ያካትቱ።,አቅጣጫን፣ NW፣ NE፣ SE ወይም SWን ያካትቱ።,Ready to Publish,,"Figma, Code",
GLOBAL - Street Address 2,,Street address line 2,Street address line 2,"Dirección, línea 2","Dirección, línea 2",የመንገድ አድራሻ መስመር 2,የመንገድ አድራሻ መስመር 2,Ready to Publish,,"Figma, Code",
GLOBAL - Helper Street Address 2,,"For example, an apartment number, unit number, floor, or PO Box.","For example, an apartment number, unit number, floor, or PO Box.","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal","Por ejemplo, número de apartamento, número de unidad, piso o apartado postal",ለምሳሌ፣ የአፓርታማ ቁጥር፣ የክፍል ቁጥር፣ ወለል ወይም የፖስታ ሳጥን።,ለምሳሌ፣ የአፓርታማ ቁጥር፣ የክፍል ቁጥር፣ ወለል ወይም የፖስታ ሳጥን።,Ready to Publish,,"Figma, Code",
GLOBAL - City,,City,City,Ciudad,Ciudad,ከተማ,ከተማ,Ready to Publish,,"Figma, Code",
GLOBAL - Default City,,Washington,   ,Washington,   ,Washington (ዋሺንግተን),ዋሽንግተን,Ready to Publish,,"Figma, Code",
GLOBAL - State or Territory,,State or territory,State or territory,Estado o territorio,Estado o territorio,ክፍለ ሀገር ወይም ግዛት,ክፍለ ሀገር ወይም ግዛት,Ready to Publish,,"Figma, Code",
GLOBAL - Default State or Territory,,District of Columbia,Colorado,Distrito de Columbia,Colorado,የኮሎምቢያ ግዛት (District of Columbia),የኮሎምቢያ ዲስትሪክት,Ready to Publish,,"Figma, Code",
GLOBAL - ZIP Code,,ZIP Code,ZIP Code,Código postal,Código postal,ZIP ኮድ,አካባቢያዊ መለያ ቁጥር,Ready to Publish,,"Figma, Code",
GLOBAL - Label Make Preferred Mailing Address,,Do you want to make this your preferred mailing address?,Do you want to make this your preferred mailing address?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,¿Quieres que esta sea tu dirección de correspondencia de preferencia?,ይህንን የመረጡት የፖስታ አድራሻ ማድረግ ይፈልጋሉ?,ይህንን የመረጡት የፖስታ አድራሻ ማድረግ ይፈልጋሉ?,Ready to Publish,,"Figma, Code",
GLOBAL - Apply Online,,Apply online,Apply online,Aplicar en línea,Aplicar en línea,በመስመር ላይ ያመልክቱ,በመስመር ላይ ያመልክቱ,Ready to Publish,,"Figma, Code",
GLOBAL - Apply Online Link,,,,,,,,Ready to Publish,,"Figma, Code",
GLOBAL - Sign Up,,Sign up,Sign up,Regístrate,Regístrate,ይመዝገቡ,ይመዝገቡ,Ready to Publish,,"Figma, Code",
GLOBAL - Download Application,,Download Application,Download Application,Descargar la aplicación,Descargar la aplicación,ማመልከቻ አውርድ,መተግበሪያ አውርድ,Ready to Publish,,"Figma, Code",
GLOBAL - Action - Log In,,Log in,Log in,Iniciar sesión,Iniciar sesión,ግባ,ግባ,Ready to Publish,,"Figma, Code",
GLOBAL - Action - Log In Esp,,Iniciar sesión,Iniciar sesión,Log in ,Log in,Iniciar sesión,Iniciar sesión,Ready to Publish,,"Figma, Code",
GLOBAL - Label - Suggested Address,,Suggested address,Suggested address,Dirección sugerida,Dirección sugerida,የተጠቆመ አድራሻ,የተጠቆመ አድራሻ,Ready to Publish,,"Figma, Code",
GLOBAL - Label - Address Entered,,Address you entered,Address you entered,La dirección que ingresaste,La dirección que ingresaste,ያስገቡት አድራሻ,ያስገቡት አድራሻ,Ready to Publish,,"Figma, Code",
GLOBAL - Label - Select All,,Select all that apply,Select all that apply,Selecciona todas las que correspondan,Selecciona todas las que correspondan,የሚመለከተውን ሁሉ ይምረጡ,የሚመለከተውን ሁሉ ይምረጡ,Ready to Publish,,"Figma, Code",
GLOBAL - Text,,Text,Text,Texto,Texto,መልዕክት,ጽሑፍ,Ready to Publish,,"Figma, Code",
GLOBAL - Title FAQs,,!N/A!,Frequently asked questions about Summer EBT,!N/A!,Preguntas frecuentes sobre Summer EBT,!N/A!,,!N/A!,,!N/A!,
GLOBAL - Link FAQs,,FAQs,FAQs,Preguntas frecuentes,Preguntas frecuentes,በተደጋጋሚ የተጠየቁ ጥያቄዎች,ተደጋጋሚ ጥያቄዎች,Ready to Publish,,"Figma, Code",
GLOBAL - Title Contact Us,,!N/A!,Summer EBT Help Desk,!N/A!,Línea de ayuda de Summer EBT,!N/A!,,!N/A!,,!N/A!,
GLOBAL - Link Contact Us,,Contact Us,Contact us,Contáctanos,Contáctanos,ያግኙን,ያግኙን,Ready to Publish,,"Figma, Code",
GLOBAL - Link Contact Us 2,,!N/A!,,!N/A!,,!N/A!,,!N/A!,,!N/A!,
GLOBAL - Link Public Notices,,Public Notifications,Public Notifications,Notificaciones públicas,Notificaciones públicas,የህዝብ ማሳወቂያዎች,የህዝብ ማሳወቂያዎች,Ready to Publish,,"Figma, Code",
GLOBAL - Title Accessibility,,!N/A!,Accessibility at CDHS,!N/A!,Accesibilidad en CDHS,!N/A!,,!N/A!,,!N/A!,
GLOBAL - Body Accessibility,,!N/A!,"CDHS is committed to meeting members of our community where they are, and strives to provide all Coloradans with access to our programs, services, resources, activities and communication regardless of ability.",!N/A!,"El Departamento de Servicios Humanos de Colorado (CDHS) se compromete a atender a los miembros de nuestra comunidad donde se encuentren y se esfuerza por brindar a todos loa habitantes de Colorado acceso a nuestros programas, servicios, recursos, actividades y comunicación, independientemente de sus capacidades.",!N/A!,,!N/A!,,!N/A!,
GLOBAL - Link Accessibility,,Accessibility,Accessibility,Accesibilidad,Accesibilidad,ተደራሽነት,ተደራሽነት,Ready to Publish,,"Figma, Code",
GLOBAL - Link Privacy Policy,,Privacy and Security,Privacy and Security,Privacidad y seguridad,Privacidad y seguridad,ግላዊነት እና ደህንነት,ግላዊነት እና ደህንነት,Ready to Publish,,"Figma, Code",
GLOBAL - Link Google Translate,,Google Translate Disclaimer,Google Translate Disclaimer,Aviso legal del Traductor de Google,Aviso legal del Traductor de Google,የጉግል ትርጉም ማሳሰቦያ,የጉግል ትርጉም ማስተባበያ,Ready to Publish,,"Figma, Code",
GLOBAL - Link About,,About DC.GOV,About DC.GOV,Acerca de DC.GOV,Acerca de DC.GOV,ስለ DC.GOV,ስለ ዲሲ.ጎቭ,Ready to Publish,,"Figma, Code",
GLOBAL - Link Terms,,Terms and Conditions,Terms and Conditions,Términos y condiciones,Términos y condiciones,ውሎች እና ደንቦች,ውሎች እና ሁኔታዎች,Ready to Publish,,"Figma, Code",
GLOBAL - Copyrite,,© 2026 District of Columbia,© [YYYY] District of Columbia,© 2026 Distrito de Columbia,© [YYYY] Distrito de Columbia,© 2026 የኮሎምቢያ ዲስትሪክት,© 2026 የኮሎምቢያ ዲስትሪክት,Ready to Publish,,"Figma, Code",
GLOBAL - Alert Sitewide,,Benefits will be issued in June. Check back in this portal for details regarding your enrolled students and their EBT cards.,,Los beneficios serán emitidos a finales de junio. Vuelve a revisar el portal en esas fechas para ver los detalles sobre tus niños inscritos y sus tarjetas de EBT.,,ጥቅማጥቅሞች በሰኔ ውስጥ ይሰጣሉ። የተመዘገቡ ተማሪዎችዎን እና የኢቢቲ ካርዶቻቸውን በተመለከተ ዝርዝሮችን ለማግኘት በዚህ ፖርታል ውስጥ ተመልሰው ይመልከቱ።,ጥቅማ ጥቅሞች በሰኔ ወር ይሰጣሉ። ስለተመዘገቡ ተማሪዎችዎ እና ስለ EBT ካርዶቻቸው ዝርዝር መረጃ ለማግኘት በዚህ ፖርታል ላይ ተመልሰው ይመልከቱ።,Ready to Publish,,"Figma, Code",
GLOBAL - Alert Beta,,This site is currently in beta. Some features may be incomplete or missing.,This site is currently in beta. Some features may be incomplete or missing.,Este sitio está actualmente en versión beta. Es posible que algunas funciones estén incompletas o no disponibles.,Este sitio está actualmente en versión beta. Es posible que algunas funciones estén incompletas o no disponibles.,ይህ ጣቢያ በአሁኑ ጊዜ በቅድመ-ይሁንታ ላይ ነው። አንዳንድ ባህሪያት ያልተሟሉ ወይም የጎደሉ ሊሆኑ ይችላሉ።,ይህ ጣቢያ በአሁኑ ጊዜ በቤታ ላይ ነው። አንዳንድ ባህሪያት ያልተሟሉ ወይም የጎደሉ ሊሆኑ ይችላሉ።,Ready to Publish,,"Figma, Code",User-facing banner that appears at the top of the page for all screens.
GLOBAL - Alert Issue Pending,,Benefits will be issued in June. Check back in this portal for details regarding your enrolled students and their EBT cards.,Benefits will be issued in late May. Check back then for details regarding your enrolled children and their Summer EBT cards.,Los beneficios serán emitidos a finales de junio. Vuelve a revisar el portal en esas fechas para ver los detalles sobre tus niños inscritos y sus tarjetas de EBT.,Los beneficios serán emitidos a finales de mayo. Vuelve a revisar el portal en esas fechas para ver los detalles sobre tus niños inscritos y sus tarjetas de Summer EBT.,ጥቅማጥቅሞች በሰኔ ውስጥ ይሰጣሉ. የተመዘገቡ ተማሪዎችዎን እና የኢቢቲ ካርዶቻቸውን በተመለከተ ዝርዝሮችን ለማግኘት በዚህ ፖርታል ውስጥ ተመልሰው ይመልከቱ።,ጥቅማ ጥቅሞች በሰኔ ወር ይሰጣሉ። ስለተመዘገቡ ተማሪዎችዎ እና ስለ EBT ካርዶቻቸው ዝርዝር መረጃ ለማግኘት በዚህ ፖርታል ላይ ተመልሰው ይመልከቱ።,Ready to Publish,,"Figma, Code",
GLOBAL - Remove,,!N/A!,Remove,!N/A!,Eliminar,,,Ready to Publish,,"Figma, Code",
GLOBAL - Processing,,Processing,Processing,Procesando,Procesando,በሂደት ላይ,በሂደት ላይ,Draft (DC-701),Amharic Needs Human Review,Code,Row removed from the sheet; the login form still reads this key (kept from the previous export)
VALIDATION - Summary,,"We're sorry. Some required questions aren't filled or we can't accept some of the answers. We'll be able to continue your application once these issues are fixed.

If you need additional support (especially in a language other than English or español), please contact us.","We're sorry. Some required questions aren't filled or we can't accept some of the answers. We'll be able to continue your application once these issues are fixed.

If you need additional support (especially in a language other than English or español), please contact us.","Lo sentimos. Algunas preguntas requeridas no están completas o no podemos aceptar algunas de las respuestas. Podremos continuar con tu solicitud una vez que se solucionen estos problemas. Si necesitas apoyo adicional (especialmente en un idioma distinto de inglés o español), comunícate con nosotros.","Lo sentimos. Algunas preguntas requeridas no están completas o no podemos aceptar algunas de las respuestas. Podremos continuar con tu solicitud una vez que se solucionen estos problemas.

Si necesitas apoyo adicional (especialmente en un idioma diferente al inglés o español), por favor contáctanos.","ይቅርታ እንጠይቃለን። አንዳንድ የሚፈለጉ ጥያቄዎች አልተሟሉም ወይም አንዳንዶቹን መልሶች መቀበል አንችልም። እነዚህ ችግሮች ከተስተካከሉ በኋላ ማመልከቻዎን መቀጠል እንችላለን።

ተጨማሪ ድጋፍ ከፈለጉ (በተለይም ከእንግሊዝኛ ወይም ከስፓኒሽ ቋንቋ ውጪ)፣ እባክዎ ያግኙን።","ይቅርታ እንጠይቃለን። አንዳንድ የሚፈለጉ ጥያቄዎች አልተሟሉም ወይም አንዳንዶቹን መልሶች መቀበል አንችልም። እነዚህ ችግሮች ከተስተካከሉ በኋላ ማመልከቻዎን መቀጠል እንችላለን።

ተጨማሪ ድጋፍ ከፈለጉ (በተለይም በእንግሊዝኛ ወይም በስፓኒሽ ቋንቋ ካልሆነ በስተቀር)፣ እባክዎን ያግኙን።",Ready to Publish,,"Figma, Code",
VALIDATION - Required,,This is required,This is required,Esto es requerido,Esto es requerido,ይህ ያስፈልጋል,ይህ ያስፈልጋል,Ready to Publish,,"Figma, Code",
VALIDATION - Select Option,,Select an option,Select an option,Selecciona una opción,Selecciona una opción,አንድ አማራጭ ይምረጡ,አንድ አማራጭ ይምረጡ,Ready to Publish,,"Figma, Code",
VALIDATION - Enter Phone,,"Provide a valid phone number, including the area code","Provide a valid phone number, including the area code","Ingresa un número de teléfono válido, incluyendo el código de área","Ingresa un número de teléfono válido, incluyendo el código de área",የአካባቢውን ኮድ ጨምሮ ትክክለኛ የስልክ ቁጥር ያቅርቡ,የአካባቢውን ኮድ ጨምሮ ትክክለኛ የስልክ ቁጥር ያቅርቡ,Ready to Publish,,"Figma, Code",
VALIDATION - Enter ZIP,,Provide a valid ZIP Code with at least five numbers,Provide a valid ZIP Code with at least five numbers,Ingresa un código de área válido con por lo menos cinco números,Ingresa un código de área válido con por lo menos cinco números,ቢያንስ አምስት ቁጥሮች ያሉት ትክክለኛ ዚፕ ኮድ ያቅርቡ,ቢያንስ አምስት ቁጥሮች ያሉት ትክክለኛ የፖስታ ኮድ ያቅርቡ,Ready to Publish,,"Figma, Code",
VALIDATION - Valid Date,,Enter a valid date,Enter a valid date,Introduzca una fecha válida,Introduzca una fecha válida,ትክክለኛ ቀን ያስገቡ,ትክክለኛ ቀን ያስገቡ,Ready to Publish,Amharic Needs Human Review,Figma,
VALIDATION - Select Month,,Select a month,Select a month,Selecciona un mes,Selecciona un mes,ወር ይምረጡ,ወር ይምረጡ,Ready to Publish,,"Figma, Code",
VALIDATION - Enter Day,,Provide a day using one or two numbers,Provide a day using one or two numbers,Escribe un día usando uno o dos números,Escribe un día usando uno o dos números,አንድ ወይም ሁለት ቁጥሮችን በመጠቀም ቀን ያቅርቡ,አንድ ወይም ሁለት ቁጥሮችን በመጠቀም አንድ ቀን ያቅርቡ,Ready to Publish,,"Figma, Code",
VALIDATION - Enter Year,,Provide a year using four numbers,Provide a year using four numbers,Escribe un año usando cuatro números.,Escribe un año usando cuatro números.,አራት ቁጥሮችን በመጠቀም ዓመት ያቅርቡ,አራት ቁጥሮችን በመጠቀም አንድ ዓመት ያቅርቡ,Ready to Publish,,"Figma, Code",
VALIDATION - Select Year,,Select a year,Select a year,Selecciona un año,Selecciona un año,ዓመት ይምረጡ,ዓመት ይምረጡ,Ready to Publish,,"Figma, Code",
VALIDATION - Enter Email,,Provide a valid email address,Provide a valid email address,Ingresa un correo electrónico válido,Ingresa un correo electrónico válido,ትክክለኛ የኢሜይል አድራሻ ያቅርቡ,ትክክለኛ የኢሜይል አድራሻ ያቅርቡ,Ready to Publish,,"Figma, Code",
VALIDATION - SSN,,Provide a valid Social Security Number with 9 numbers,Provide a valid Social Security Number with 9 numbers,Ingrese un número de Seguro Social válido con nueve números,Ingrese un número de Seguro Social válido con nueve números,9 ቁጥሮች ያሉት ትክክለኛ የማህበራዊ ዋስትና ቁጥር  (SSN)ያቅርቡ,9 ቁጥሮች ያሉት ትክክለኛ የማህበራዊ ዋስትና ቁጥር ያቅርቡ,Ready to Publish,,"Figma, Code",
VALIDATION - ID Number,,Provide a valid ID number that is 7 or 8 digits long,Provide a valid ID number that is 7 or 8 digits long,Proporciona un número de identificación válido de 7 u 8 dígitos,Proporciona un número de identificación válido de 7 u 8 dígitos,7 ወይም 8 አሃዞች ርዝመት ያለው ትክክለኛ የመታወቂያ ቁጥር ያቅርቡ,7 ወይም 8 አሃዞች ርዝመት ያለው ትክክለኛ የመታወቂያ ቁጥር ያቅርቡ,Ready to Publish,,"Figma, Code",
VALIDATION - OTP Invalid,,Enter a valid [6] digit code. Tap here to send a new code.,Enter a valid [6] digit code. Tap here to send a new code.,Ingresa un código válido de 6 dígitos. Toca aquí para enviar un nuevo código,Ingresa un código válido de 6 dígitos. Toca aquí para enviar un nuevo código,ትክክለኛ [6] አሃዝ ኮድ ያስገቡ። አዲስ ኮድ ለመላክ እዚህ መታ(ይጫኑ) ያድርጉ።,ትክክለኛ [6] አሃዝ ኮድ ያስገቡ። አዲስ ኮድ ለመላክ እዚህ ይንኩ።,Ready to Publish,,"Figma, Code",
VALIDATION - Global Internal Error,,An error occurred on our end. Please try again.,An error occurred on our end. Please try again.,"Ocurrió un error de nuestro lado. Por favor, inténtalo de nuevo.","Ocurrió un error de nuestro lado. Por favor, inténtalo de nuevo.",በእኛ በኩል ስህተት ተፈጥሯል። እባክዎ እንደገና ይሞክሩ።,በእኛ በኩል ስህተት ተከስቷል። እባክዎ እንደገና ይሞክሩ።,Ready to Publish,,"Figma, Code",
VALIDATION - Global Sign-in Error,,There was an issue signing in. Please try again.,There was an issue signing in. Please try again.,"Hubo un problema al iniciar sesión. Por favor, inténtalo de nuevo.","Hubo un problema al iniciar sesión. Por favor, inténtalo de nuevo.",በመግባት ላይ ችግር ነበር። እባክዎ እንደገና ይሞክሩ።,በመግባት ላይ ችግር ነበር። እባክዎ እንደገና ይሞክሩ።,Ready to Publish,,"Figma, Code",
VALIDATION - New Code,,A new code has been sent to your email.,A new code has been sent to your email.,Se ha enviado un nuevo código a tu correo electrónico.,Se ha enviado un nuevo código a tu correo electrónico.,አዲስ ኮድ ወደ ኢሜልዎ ተልኳል።,አዲስ ኮድ ወደ ኢሜልዎ ተልኳል።,Ready to Publish,,"Figma, Code",
